;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
ПРАЙС-ЛИСТ НА 08.11.2021;;;;;;;;;;
МОСКВА- тел.+7(495)956-78-25, e-mail: fedor12volt@mail.ru;;;;;;;;;;
САНКТ-ПЕТЕРБУРГ- тел.+7(812)337-13-75, e-mail :alex12v@bk.ru;;;;;;;;;;
;Упаковка;Опт, руб.;РРЦ / INTERNET;Заказ,    шт.;Поступления                              Изменение цены;ССЫЛКА ;;;;
MOREL MPS 1.550;1 шт.;16,350.00р.;19,990.00р.;;;http://www.master12volt.ru/products/usiliteli/3524/;;;;
MOREL MPS 4.400;1 шт.;16,350.00р.;19,990.00р.;;;http://www.master12volt.ru/products/usiliteli/3525/;;;;
MOREL MPS 5.950;1 шт.;26,500.00р.;34,990.00р.;;;http://www.master12volt.ru/products/usiliteli/3526/;;;;
УСИЛИТЕЛИ  NAKAMICHI;;;;;;;;;;
NAKAMICHI NKSA60.4 ( 4-х канальный усилитель 4*60 Вт );1 шт.;5,990.00р.;6,990.00р.;;;http://www.master12volt.ru/products/nakamichi_./4120/;;;;
NAKAMICHI NGXA80.4 ( 4-х канальный усилитель 4*80 Вт );1 шт.;8,400.00р.;9,900.00р.;;;http://www.master12volt.ru/products/nakamichi_./4121/;;;;
NAKAMICHI NGXA120.4 ( 4-х канальный усилитель 4*120 Вт );1 шт.;12,100.00р.;13,900.00р.;;;http://www.master12volt.ru/products/nakamichi_./4122/;;;;
NAKAMICHI NGXA80.6 ( 6-х канальный усилитель 6*80 Вт );1 шт.;14,700.00р.;18,500.00р.;;;http://www.master12volt.ru/products/nakamichi_./4123/;;;;
NAKAMICHI NGXD1600.1 ( 1-х канальный усилитель 4*1600 Вт );1 шт.;14,900.00р.;18,900.00р.;;;http://www.master12volt.ru/products/nakamichi_./4124/;;;;
NAKAMICHI N1 ( 1-х канальный усилитель 1*1600 Вт );1 шт.;31,900.00р.;38,900.00р.;;;http://www.master12volt.ru/products/nakamichi_./4125/;;;;
NAKAMICHI N4 ( 4-х канальный усилитель 4*160 Вт, class AB );1 шт.;31,900.00р.;38,900.00р.;;;http://www.master12volt.ru/products/nakamichi_./4126/;;;;
XCELSUS AUDIO;;;;;;;;;;
Усилитель автомобильный серии SQL Magma 220.4AB 220*4 W RMS;1 шт.;16,900.00р.;22,300.00р.;;;http://www.master12volt.ru/products/avtozvuk/4729/;;;;
Усилитель автомобильный серии SQL Magma 2200.1D Mono Amplifier 2200 W RMS 1 Ohm;1 шт.;16,900.00р.;22,300.00р.;;;http://www.master12volt.ru/products/avtozvuk/4727/;;;;
Усилитель автомобильный серии SQL Magma 1600.1D Mono Amplifier 1600 W RMS 1 Ohm;1 шт.;15,200.00р.;19,900.00р.;;;http://www.master12volt.ru/products/avtozvuk/4728/;;;;
4-канальный усилитель мощности, Mafnifico 4, серия Mafnifico 4, 120х4 Вт, RMS, Нагрузка 1 Ом, шт;1 шт.;15,900.00р.;20,500.00р.;;;http://www.master12volt.ru/products/avtozvuk/4743/;;;;
1-канальный усилитель мощности, Magnifico 1, серия Mafnifico,RMS, Нагрузка 1 Ом, шт;1 шт.;18,900.00р.;24,700.00р.;;;http://www.master12volt.ru/products/avtozvuk/4744/;;;;
УСИЛИТЕЛИ  SMART;;;;;;;;;;
Автоусилитель SMART SAM 4.60 RED;1 шт.;3,500.00р.;4,300.00р.;;;http://www.master12volt.ru/products/avtozvuk/4587/;;;;
Автоусилитель SMART SAM 4.80 RED;1 шт.;4,200.00р.;4,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/4588/;;;;
Автоусилитель SMART SAM 1.1250D;1 шт.;7,300.00р.;8,360.00р.;;;http://www.master12volt.ru/products/avtozvuk/5420/;;;;
УСИЛИТЕЛИ SKYLOR;;;;;;;;;;
SKYLOR AQ-1.1000 цифровой 1-х канальный усилитель 1х1000 Вт, класс D;1 шт.;5,100.00р.;6,890.00р.;;;http://www.master12volt.ru/products/avtozvuk/4580/;;;;
SKYLOR AQ-2.60 аналоговый 2-х канальный усилитель 2х60 Вт, класс АВ;1 шт.;2,800.00р.;3,500.00р.;;;http://www.master12volt.ru/products/avtozvuk/4582/;;;;
SKYLOR DG-1.1200 цифровой 1 канальный усилитель 1200 Вт, класс D;1 шт.;6,800.00р.;8,800.00р.;;;http://www.master12volt.ru/products/avtozvuk/4584/;;;;
SKYLOR DG-1.600 цифровой 1 канальный усилитель 600 Вт, класс D;1 шт.;4,600.00р.;5,900.00р.;;;http://www.master12volt.ru/products/usiliteli/5283/;;;;
SKYLOR DG-2.80, цифровой 2-х канальный усилитель 2x80 Вт;1 шт.;3,200.00р.;4,500.00р.;;;http://www.master12volt.ru/products/avtozvuk/4585/;;;;
SKYLOR DG-4.80, цифровой 4-х канальный усилитель 4x80 Вт, класс D;1 шт.;5,000.00р.;6,500.00р.;;;http://www.master12volt.ru/products/avtozvuk/4586/;;;;
SKYLOR Регулятор уровня сигнала для усилителя  DG 1.1200;1 шт.;300.00р.;500.00р.;;;;;;;
УСИЛИТЕЛИ URAL;;;;;;;;;;
УРАЛ МОЛОТ МТ 2.60;5 шт.;3,290.00р.;3,990.00р.;;Снова на складе!!!;http://www.master12volt.ru/products/avtozvuk/5284/;;;;
УРАЛ МОЛОТ МТ 4.60;5 шт.;3,890.00р.;4,690.00р.;;Снова на складе!!!;http://www.master12volt.ru/products/avtozvuk/5285/;;;;
УРАЛ МОЛОТ МТ 1.500;5 шт.;4,690.00р.;5,690.00р.;;Снова на складе!!!;http://www.master12volt.ru/products/avtozvuk/5286/;;;;
Ural  AKM 2.120;5 шт.;4,590.00р.;5,290.00р.;;;http://www.master12volt.ru/products/usiliteli/3156/;;;;
Ural  AKM 1.700;5 шт.;6,490.00р.;7,490.00р.;;;http://www.master12volt.ru/products/ural+3/4127/;;;;
Ural  BV 3.500;5 шт.;7,590.00р.;9,390.00р.;;;http://www.master12volt.ru/products/avtozvuk/4346/;;;;
Ural  BV 1.800;5 шт.;5,390.00р.;6,390.00р.;;ОЖИДАЕТСЯ !!!!;http://www.master12volt.ru/products/avtozvuk/4347/;;;;
Ural  BV 1.1200;5 шт.;7,190.00р.;8,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/4348/;;;;
Ural  BV 2.70;5 шт.;3,990.00р.;4,790.00р.;;;http://www.master12volt.ru/products/ural+3/3527/;;;;
Ural  BV 4.70;5 шт.;4,590.00р.;5,390.00р.;;;http://www.master12volt.ru/products/ural+3/3528/;;;;
Ural  PB 1.1500;1 шт.;8,990.00р.;10,590.00р.;;;http://www.master12volt.ru/products/avtozvuk/4761/;;;;
Ural  PB 4.120;1 шт.;7,990.00р.;9,290.00р.;;;http://www.master12volt.ru/products/ural+3/3410/;;;;
Ural  PB 5.700;1 шт.;10,990.00р.;12,590.00р.;;;http://www.master12volt.ru/products/ural+3/3411/;;;;
Ural  PT 4.260;1 шт.;9,790.00р.;10,990.00р.;;;http://www.master12volt.ru/products/ural+3/3413/;;;;
Ural  PT 8.120;1 шт.;11,790.00р.;13,490.00р.;;;http://www.master12volt.ru/products/ural+3/3414/;;;;
Ural PT 2.1200F;1 шт.;16,990.00р.;19,490.00р.;;;http://www.master12volt.ru/products/ural+3/3622/;;;;
Ural  W 1.1800;1 шт.;11,790.00р.;13,190.00р.;;;http://www.master12volt.ru/products/ural+3/1953/;;;;
Ural  W 4.135;1 шт.;8,390.00р.;9,690.00р.;;;http://www.master12volt.ru/products/ural+3/1955/;;;;
Ural  DB 4.150;1 шт.;9,990.00р.;11,290.00р.;;ОЖИДАЕТСЯ !!!!;http://www.master12volt.ru/products/ural+3/1956/;;;;
Ural  DB 6.180;1 шт.;13,290.00р.;15,290.00р.;;;http://www.master12volt.ru/products/ural+3/3157/;;;;
Ural  DB 1.2500;1 шт.;14,190.00р.;15,990.00р.;;;http://www.master12volt.ru/products/ural+3/1957/;;;;
Ural  UT 1.2800 Ultimatum;1 шт.;19,300.00р.;21,740.00р.;;ОЖИДАЕТСЯ !!!!;http://www.master12volt.ru/products/avtozvuk/4247/;;;;
Ural  UT 1.3800 Ultimatum;1 шт.;24,790.00р.;27,990.00р.;;ОЖИДАЕТСЯ !!!!;http://www.master12volt.ru/products/avtozvuk/4248/;;;;
Ural  UT 1.5000 Ultimatum;1 шт.;33,900.00р.;39,900.00р.;;ОЖИДАЕТСЯ !!!!;http://www.master12volt.ru/products/avtozvuk/4249/;;;;
Ural  UT 1.8800 Ultimatum;1 шт.;55,990.00р.;61,990.00р.;;ОЖИДАЕТСЯ !!!!;http://www.master12volt.ru/products/avtozvuk/4250/;;;;
Ural  UT 1.13800 Ultimatum;1 шт.;99,990.00р.;110,990.00р.;;ОЖИДАЕТСЯ !!!!;http://www.master12volt.ru/products/avtozvuk/4251/;;;;
Аксессуары;;;;;` ;;;;;
Межблочные кабели/адаптеры/разъемы RCA/Кондесаторы;;;;;;;;;;
GROUND ZERO GZCC 5.1XLC;1 шт.;450.00р.;650.00р.;;;http://www.master12volt.ru/products/aksessuary/2452/;;;;
GROUND ZERO GZCC 5.3X;1 шт.;810.00р.;1,190.00р.;;;http://www.master12volt.ru/products/aksessuary/2157/;;;;
GROUND ZERO GZCC 0.57X-TP RCA кабель 0.57 м;1 шт.;1,150.00р.;1,690.00р.;;;http://www.master12volt.ru/products/akusticheskiy-kabel/2158/;;;;
GROUND ZERO GZCC 1.14X-TP RCA кабель 1.14 м;1 шт.;1,040.00р.;1,490.00р.;;;http://www.master12volt.ru/products/akusticheskiy-kabel/2159/;;;;
GROUND ZERO GZCC 3.14X-TP RCA кабель 3.14 м;1 шт.;1,690.00р.;2,490.00р.;;;http://www.master12volt.ru/products/akusticheskiy-kabel/2161/;;;;
GROUND ZERO GZCY 30X Y-адаптор RCA;1 шт.;235.00р.;330.00р.;;;http://www.master12volt.ru/products/aksessuary/2168/;;;;
Межблочный кабель-разветвитель FORCAR HP 2FY коаксиал (2мама/1папа), экран, медь;1 шт.;300.00р.;370.00р.;;;http://www.master12volt.ru/products/forcar/5086/;;;;
Межблочный кабель-разветвитель FORCAR HP 2MY коаксиал (2папа/1мама), экран, медь;1 шт.;300.00р.;370.00р.;;;http://www.master12volt.ru/products/forcar/5087/;;;;
Межблочный кабель-разветвитель FORCAR SQ 2FY витая пара (2мама/1папа), медь;1 шт.;150.00р.;170.00р.;;;http://www.master12volt.ru/products/forcar/5088/;;;;
Межблочный кабель-разветвитель FORCAR SQ 2MY  витая пара (2папа/1мама), медь;1 шт.;150.00р.;170.00р.;;;http://www.master12volt.ru/products/forcar/5089/;;;;
Кабель FORCAR SQ 1M витая пара 1,0 метр (медь);1 шт.;200.00р.;250.00р.;;;http://www.master12volt.ru/products/mezhblochnyy-kabel/5494/;;;;
Кабель FORCAR HP 5M коаксиальный , экран 5,0 метров (медь);1 шт.;700.00р.;900.00р.;;;http://www.master12volt.ru/products/forcar/5090/;;;;
Кабель FORCAR SQ 5M витая пара 5,0 метров (медь);1 шт.;250.00р.;300.00р.;;;http://www.master12volt.ru/products/forcar/5091/;;;;
Ural DB Cooling Fan;1 шт.;1,190.00р.;1,490.00р.;;;http://www.master12volt.ru/products/avtozvuk/5069/;;;;
Ural DB Capacitor 2,2/250;1 шт.;100.00р.;140.00р.;;;http://www.master12volt.ru/products/avtozvuk/5068/;;;;
Ural DB Capacitor 3,3/250;1 шт.;100.00р.;140.00р.;;Ожидается!!!;http://www.master12volt.ru/products/avtozvuk/5067/;;;;
Ural RC-DB01 (цена указана за упаковку 4шт.)    ;упк;350.00р.;480.00р.;;;http://www.master12volt.ru/products/akusticheskiy-kabel/2760/;;;;
Ural RC-DB02 (цена указана за упаковку 4шт.);упк;390.00р.;550.00р.;;;http://www.master12volt.ru/products/akusticheskiy-kabel/2761/;;;;
Ural RC-DB03F (цена указана за упаковку 4шт.);упк;350.00р.;480.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/3418/;;;;
Адаптер-переходник угловой RCA («папа») - RCA Ural ADAPTER01  (цена за упаковку 2шт. - одна пара красный и черный);упк;230.00р.;350.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/3419/;;;;
Адаптер-переходник (F-адаптер) RCA («папа») – 2 x RCA («мама») Ural ADAPTER02;упк;160.00р.;250.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/3420/;;;;
URAL RCA-PB01  (цена указана за бухту 20 метров);1 бухта;890.00р.;1,390.00р.;;;http://www.master12volt.ru/products/avtozvuk/4624/;;;;
URAL RCA-PB02  (цена указана за бухту 20 метров);1 бухта;1,390.00р.;2,090.00р.;;;http://www.master12volt.ru/products/avtozvuk/4625/;;;;
Ural RCA-SY01 Symphony (цена указана за бухту 20 метров);1 бухта;2,090.00р.;2,900.00р.;;;http://www.master12volt.ru/products/avtozvuk/4349/;;;;
Ural RC-01SY Symphony (цена указана за упаковку 2шт.);упк;490.00р.;690.00р.;;;http://www.master12volt.ru/products/avtozvuk/4350/;;;;
Ural Banana Plug Terminal;упк;170.00р.;250.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/3421/;;;;
Ural Speaker Connector;1 шт.;300.00р.;450.00р.;;Ожидается!!!;http://www.master12volt.ru/products/avtozvuk/3623/;;;;
Ural Decibel USB - Micro USB 15;1 шт.;250.00р.;350.00р.;;;http://www.master12volt.ru/products/avtozvuk/3624/;;;;
Ural Decibel Mini Jack- Mini Jack 15;1 шт.;250.00р.;350.00р.;;;http://www.master12volt.ru/products/ural+5/2829/;;;;
Ural Decibel Mini Jack- 2RCA 15;1 шт.;380.00р.;500.00р.;;;http://www.master12volt.ru/products/ural+5/2830/;;;;
Ural ТТ USB - USB Type-C 15;1 шт.;350.00р.;490.00р.;;;http://www.master12volt.ru/products/mezhblochnyy-kabel/4128/;;;;
Ural RCA-SY5M Symphony;1 шт.;1,590.00р.;2,990.00р.;;;http://www.master12volt.ru/products/ural6/4664/;;;;
Кабель межблочный URAL  КМ 2RCA МТ5М (серия МОЛОТ) ;1 шт.;300.00р.;420.00р.;;На складе !!!;http://www.master12volt.ru/products/mezhblochnyy-kabel/5143/;;;;
Ural 4RCA-MV5M;1 шт.;420.00р.;650.00р.;;;http://www.master12volt.ru/products/avtozvuk/4627/;;;;
Ural RCA-PT5M;1 шт.;490.00р.;690.00р.;;Ожидается!!!;http://www.master12volt.ru/products/ural+5/2820/;;;;
Ural 4RCA-PT5M;1 шт.;950.00р.;1,290.00р.;;Ожидается!!!;http://www.master12volt.ru/products/ural+5/2821/;;;;
Ural RCA-BV03M;1 шт.;90.00р.;200.00р.;;;http://www.master12volt.ru/products/mezhblochnyy-kabel/3422/;;;;
URAL RCA-PB2.5M;1 шт.;690.00р.;890.00р.;;Ожидается!!!;http://www.master12volt.ru/products/mezhblochnyy-kabel/4628/;;;;
Ural 4RCA-PB5M;1 шт.;1,290.00р.;1,790.00р.;;;http://www.master12volt.ru/products/mezhblochnyy-kabel/4129/;;;;
Ural RCA-PB5M;1 шт.;790.00р.;990.00р.;;;http://www.master12volt.ru/products/mezhblochnyy-kabel/4130/;;;;
Ural 4RCA-BV5M;1 шт.;600.00р.;850.00р.;;;http://www.master12volt.ru/products/mezhblochnyy-kabel/3424/;;;;
Ural RCA-PT05M;1 шт.;320.00р.;450.00р.;;;http://www.master12volt.ru/products/mezhblochnyy-kabel/3425/;;;;
Ural RCA-DB5M;1 шт.;790.00р.;1,290.00р.;;Ожидается!!!;http://www.master12volt.ru/products/ural+5/2823/;;;;
URAL  YRCA-BV1F2M;1 шт.;110.00р.;150.00р.;;Ожидается!!!;http://www.master12volt.ru/products/mezhblochnyy-kabel/3426/;;;;
URAL  YRCA-BV1M2F ;1 шт.;110.00р.;150.00р.;;Ожидается!!!;http://www.master12volt.ru/products/mezhblochnyy-kabel/3427/;;;;
URAL  YRCA-PT1F2M      ;1 шт.;250.00р.;350.00р.;;;http://www.master12volt.ru/products/ural+5/2824/;;;;
URAL  YRCA-PT1M2F     ;1 шт.;250.00р.;350.00р.;;;http://www.master12volt.ru/products/ural+5/2825/;;;;
URAL  YRCA-DB1F2M      ;1 шт.;390.00р.;550.00р.;;;http://www.master12volt.ru/products/ural+5/2826/;;;;
URAL  YRCA-DB1M2F;1 шт.;390.00р.;550.00р.;;;http://www.master12volt.ru/products/ural+5/2827/;;;;
URAL POWER ADAPTER ;1 шт.;230.00р.;350.00р.;;Ожидается!!!;http://www.master12volt.ru/products/ural+5/2828/;;;;
Силовые кабели в бухтах;;;;;;;;;;
FORCAR OFC-4Ga силовой кабель 4Ga/20мм2 (бухта 24 метра )  чистая медь, красный;1 бухта;8,700.00р.;11,300.00р.;;NEW Поступление;http://www.master12volt.ru/products/avtozvuk/5287/;;;;
FORCAR OFC-8Ga силовой кабель 8Ga/8мм2 (бухта 24 метра )  чистая медь, красный;1 бухта;3,750.00р.;4,900.00р.;;NEW Поступление;http://www.master12volt.ru/products/avtozvuk/5288/;;;;
GROUND ZERO GZPC 10B Силовой кабель ;50 м;4,850.00р.;6,990.00р.;;;http://www.master12volt.ru/products/silovye-kabeli/2116/;;;;
GROUND ZERO GZPC 35B Силовой кабель ;30 м;7,300.00р.;9,990.00р.;;;http://www.master12volt.ru/products/silovye-kabeli/2120/;;;;
GROUND ZERO GZPC 35R Силовой кабель ;30 м;7,300.00р.;9,990.00р.;;;http://www.master12volt.ru/products/silovye-kabeli/2121/;;;;
GROUND ZERO GZPC 50B Силовой кабель ;20 м;5,250.00р.;7,490.00р.;;;http://www.master12volt.ru/products/silovye-kabeli/2122/;;;;
GROUND ZERO GZPC 50R Силовой кабель ;20 м;5,250.00р.;7,490.00р.;;;http://www.master12volt.ru/products/silovye-kabeli/2123/;;;;
Ural RCA-DB01 (цена указана за бухту 20 метров);1 бухта;1,590.00р.;2,290.00р.;;Последние экземпляры!!!;http://www.master12volt.ru/products/akusticheskiy-kabel/2759/;;;;
Ural PC-UT4Ga Grey (цена указана за бухту 15 метров);1 бухта;7,590.00р.;9,590.00р.;;Ожидается!!!;http://www.master12volt.ru/products/silovye-kabeli/4356/;;;;
Ural PC-UT4Ga Transparent (цена указана за бухту 15 метров);1 бухта;7,590.00р.;9,590.00р.;;Ожидается!!!;http://www.master12volt.ru/products/silovye-kabeli/4357/;;;;
Ural PC-UT8Ga Grey (цена указана за бухту 20 метров);1 бухта;3,590.00р.;4,590.00р.;;Ожидается!!!;http://www.master12volt.ru/products/silovye-kabeli/4358/;;;;
Ural PC-UT8Ga Transparent (цена указана за бухту 20 метров);1 бухта;3,590.00р.;4,590.00р.;;Ожидается!!!;http://www.master12volt.ru/products/silovye-kabeli/4359/;;;;
Ural PC-PT50 (0GA) RED (цена указана за бухту 20 метров)             ;1 бухта;9,400.00р.;12,990.00р.;;Ожидается!!!;http://www.master12volt.ru/products/silovye-kabeli/4629/;;;;
Ural PC-PT50 (0GA) BLACK (цена указана за бухту 20 метров);1 бухта;9,400.00р.;12,990.00р.;;Ожидается!!!;http://www.master12volt.ru/products/silovye-kabeli/4630/;;;;
Ural PC-PT35 (2GA) RED (цена указана за бухту 20 метров)  ;1 бухта;7,400.00р.;10,990.00р.;;Ожидается!!!;http://www.master12volt.ru/products/silovye-kabeli/4631/;;;;
Ural PC-PT35 (2GA) BLACK (цена указана за бухту 20 метров) ;1 бухта;7,400.00р.;10,990.00р.;;Ожидается!!!;http://www.master12volt.ru/products/silovye-kabeli/4632/;;;;
Ural PC-PT25 (4GA) RED (цена указана за бухту 50 метров);1 бухта;13,500.00р.;19,990.00р.;;Ожидается!!!;http://www.master12volt.ru/products/silovye-kabeli/4633/;;;;
Ural PC-PT25 (4GA) BLACK (цена указана за бухту 50 метров);1 бухта;13,500.00р.;19,990.00р.;;Ожидается!!!;http://www.master12volt.ru/products/silovye-kabeli/4634/;;;;
Ural PC-PT16 (5GA) RED (цена указана за бухту 20 метров) ;1 бухта;3,400.00р.;4,990.00р.;;Ожидается!!!;http://www.master12volt.ru/products/ural4/4635/;;;;
Ural PC-PT16 (5GA) BLACK (цена указана за бухту 50 метров);1 бухта;8,500.00р.;12,475.00р.;;Ожидается!!!;http://www.master12volt.ru/products/ural4/4636/;;;;
Ural МТ0 КРАСНЫЙ Кабель силовой (цена указана за бухту 15 метров);1 бухта;3,490.00р.;5,290.00р.;;;http://www.master12volt.ru/products/avtozvuk/5135/;;;;
Ural МТ0 ЧЕРНЫЙ Кабель силовой (цена указана за бухту 15 метров);1 бухта;3,490.00р.;5,290.00р.;;;http://www.master12volt.ru/products/avtozvuk/5136/;;;;
Ural МТ2 КРАСНЫЙ Кабель силовой (цена указана за бухту 15 метров);1 бухта;2,790.00р.;3,590.00р.;;;http://www.master12volt.ru/products/avtozvuk/5137/;;;;
Ural МТ2 ЧЕРНЫЙ Кабель силовой (цена указана за бухту 15 метров);1 бухта;2,790.00р.;3,590.00р.;;;http://www.master12volt.ru/products/avtozvuk/5138/;;;;
Ural МТ4 КРАСНЫЙ Кабель силовой (цена указана за бухту 15 метров);1 бухта;1,550.00р.;2,290.00р.;;;http://www.master12volt.ru/products/avtozvuk/5139/;;;;
Ural МТ4 ЧЕРНЫЙ Кабель силовой (цена указана за бухту 15 метров);1 бухта;1,550.00р.;2,290.00р.;;;http://www.master12volt.ru/products/avtozvuk/5140/;;;;
Ural МТ8 КРАСНЫЙ Кабель силовой (цена указана за бухту 20 метров);1 бухта;950.00р.;1,390.00р.;;;http://www.master12volt.ru/products/avtozvuk/5141/;;;;
Ural МТ8 ЧЕРНЫЙ Кабель силовой (цена указана за бухту 20 метров);1 бухта;950.00р.;1,390.00р.;;;http://www.master12volt.ru/products/avtozvuk/5142/;;;;
Ural МC-BV20GA BLUE (цена указана за бухту 30 метров);1 бухта;200.00р.;300.00р.;;;http://www.master12volt.ru/products/silovye-kabeli/3428/;;;;
Ural МC-BV20GA RED (цена указана за бухту 30 метров);1 бухта;200.00р.;300.00р.;;;http://www.master12volt.ru/products/silovye-kabeli/3429/;;;;
Ural МC-BV20GA BLACK (цена указана за бухту 30 метров);1 бухта;200.00р.;300.00р.;;;http://www.master12volt.ru/products/silovye-kabeli/3430/;;;;
Обжимная клемма для силового кабеля;;;;;;;;;;
Ural RT-DB00GA (цена указана за упаковку: 1шт. с красным кембриком + 1шт. с чёрным кембриком) ;упк;200.00р.;290.00р.;;;http://www.master12volt.ru/products/montazhnye_komplekty_i_aksessuary/2786/;;;;
Ural RT-DB0GA (цена указана за упаковку: 2шт. с красным кембриком + 2шт. с чёрным кембриком);упк;250.00р.;350.00р.;;;http://www.master12volt.ru/products/montazhnye_komplekty_i_aksessuary/2787/;;;;
Ural RT-DB2GA (цена указана за упаковку: 3шт. с красным кембриком + 3шт. с чёрным кембриком);упк;270.00р.;380.00р.;;;http://www.master12volt.ru/products/montazhnye_komplekty_i_aksessuary/2788/;;;;
Ural RT-DB4GA (цена указана за упаковку: 3шт. с красным кембриком + 3шт. с чёрным кембриком);упк;170.00р.;280.00р.;;;http://www.master12volt.ru/products/montazhnye_komplekty_i_aksessuary/2789/;;;;
Ural RT-DB8GA (цена указана за упаковку: 3шт. с красным кембриком + 3шт. с чёрным кембриком);упк;120.00р.;210.00р.;;;http://www.master12volt.ru/products/montazhnye_komplekty_i_aksessuary/2790/;;;;
Ural PUT-DB0GA (цена указана за упаковку: 1шт. с красным кембриком + 1шт. с чёрным кембриком);упк;100.00р.;140.00р.;;;http://www.master12volt.ru/products/ural4/3431/;;;;
Ural PUT-DB4GA (цена указана за упаковку: 1шт. с красным кембриком + 1шт. с чёрным кембриком);упк;75.00р.;120.00р.;;;http://www.master12volt.ru/products/ural4/3432/;;;;
Ural PUT-DB8GA (цена указана за упаковку: 1шт. с красным кембриком + 1шт. с чёрным кембриком);упк;45.00р.;75.00р.;;;http://www.master12volt.ru/products/ural4/3433/;;;;
АКУСТИЧЕСКИЙ КАБЕЛЬ в бухтах;;;;;;;;;;
FORCAR ACC-16Ga акустический кабель 16Ga/2*1.5мм2 (бухта 100 метров )  CCA-медь;1 бухта;2,000.00р.;2,500.00р.;;;http://www.master12volt.ru/products/avtozvuk/5289/;;;;
FORCAR ACC-18Ga акустический кабель 18Ga/2*0.75мм2 (бухта 100 метров )  CCA-медь;1 бухта;1,450.00р.;1,800.00р.;;;http://www.master12volt.ru/products/avtozvuk/5290/;;;;
FORCAR OFC-14Ga акустический кабель 14Ga/2*2.5мм2 (бухта 50 метра )  чистая медь;1 бухта;5,800.00р.;7,500.00р.;;;http://www.master12volt.ru/products/avtozvuk/5291/;;;;
FORCAR OFC-16Ga акустический кабель 16Ga/2*1.5мм2 (бухта 50 метра )  чистая медь;1 бухта;3,500.00р.;4,500.00р.;;;http://www.master12volt.ru/products/avtozvuk/5292/;;;;
FORCAR 18GA 1*0,75мм2 (Black) монтажный кабель черный, ССА, 100м.;1 бухта;675.00р.;750.00р.;;NEW Поступление;http://www.master12volt.ru/products/akusticheskiy-kabel/5495/;;;;
FORCAR 18GA 2*0,75мм2 (Red+Black) монтажный кабель красный+черный, ССА, 100м.;1 бухта;1,100.00р.;1,300.00р.;;NEW Поступление;http://www.master12volt.ru/products/akusticheskiy-kabel/5496/;;;;
GROUND ZERO GZSC 1.5X2 OFC Акустический кабель ;100 м;9,900.00р.;14,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/5398/;;;;
GROUND ZERO GZSC 2.5X2 OFC Акустический кабель ;100 м;16,000.00р.;23,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/5399/;;;;
GROUND ZERO GZSC 4.0X2 OFC Акустический кабель ;75 м;13,900.00р.;20,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/5400/;;;;
GROUND ZERO GZSC 10.0X2 OFC Акустический кабель ;50 м;21,150.00р.;31,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/5401/;;;;
GROUND ZERO GZSC 2-4.00  Акустический кабель ;100 м;9,000.00р.;12,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/5402/;;;;
Ural МТ12 Кабель акустический (цена указана за бухту 50 метров);1 бухта;1,990.00р.;3,300.00р.;;;http://www.master12volt.ru/products/akusticheskiy-kabel/5113/;;;;
Ural МТ14 Кабель акустический (цена указана за бухту 50 метров);1 бухта;1,390.00р.;2,190.00р.;;;http://www.master12volt.ru/products/akusticheskiy-kabel/5114/;;;;
Ural МТ16 Кабель акустический (цена указана за бухту 50 метров);1 бухта;950.00р.;1,490.00р.;;;http://www.master12volt.ru/products/akusticheskiy-kabel/5115/;;;;
Ural МТ18 Кабель акустический (цена указана за бухту 50 метров);1 бухта;600.00р.;950.00р.;;;http://www.master12volt.ru/products/akusticheskiy-kabel/5116/;;;;
Монтажный провод DSD DMC S-7BK 1x0.75 (100 метров) черный цвет;1 бухта;800.00р.;1,400.00р.;;;http://www.master12volt.ru/products/avtozvuk/5403/;;;;
Монтажный провод DSD DMC-S075 2x0.75 (100 метров) красно-черный цвет;1 бухта;1,000.00р.;1,600.00р.;;;http://www.master12volt.ru/products/avtozvuk/5404/;;;;
Обжимная клемма для акустического  кабеля;;;;;;;;;;
URAL SPT-DB1012GA (2,8 мм) (цена указана за упаковку: 6шт. с красным кембриком + 6шт. с чёрным кембриком);упк;85.00р.;130.00р.;;;http://www.master12volt.ru/products/montazhnye_komplekty_i_aksessuary/2762/;;;;
URAL SPT-DB1012GA (5,5 мм) (цена указана за упаковку: 6шт. с красным кембриком + 6шт. с чёрным кембриком);упк;85.00р.;130.00р.;;;http://www.master12volt.ru/products/montazhnye_komplekty_i_aksessuary/2763/;;;;
URAL SPTU-DB1012GA (4,2 мм) (цена указана за упаковку: 6шт. с красным кембриком + 6шт. с чёрным кембриком) ;упк;85.00р.;130.00р.;;;http://www.master12volt.ru/products/akusticheskiy-kabel/3434/;;;;
